"folio_ageb","entidad","alcaldia","localidad","pob","tot_pobres","IDSM","E_IDS_V"
"0901204221246","09","012","0422",41,41,0.6328698,"Muy bajo"
"0900901290100","09","009","0129",36,36,0.6334329,"Muy bajo"
"0900903610524","09","009","0361",70,68,0.63348,"Muy bajo"
"0901203761829","09","012","0376",234,216,0.6345807,"Muy bajo"
"0901302900620","09","013","0290",60,55,0.6348246,"Muy bajo"
"0901203941246","09","012","0394",160,159,0.634954,"Muy bajo"
"0900902750100","09","009","0275",38,34,0.6350313,"Muy bajo"
"0901301111281","09","013","0111",30,29,0.6354111,"Muy bajo"
"0900901550524","09","009","0155",123,119,0.6358423,"Muy bajo"
"0901301340635","09","013","0134",607,587,0.6361109,"Muy bajo"
"0900400740335","09","004","0074",173,161,0.6364832,"Muy bajo"
"0901203991231","09","012","0399",239,235,0.6367153,"Muy bajo"
"0900904080524","09","009","0408",2,2,0.6373523,"Muy bajo"
"0901302460635","09","013","0246",27,25,0.6373889,"Muy bajo"
"0900901090100","09","009","0109",65,61,0.6376315,"Muy bajo"
"0901302801281","09","013","0280",10,10,0.6378435,"Muy bajo"
"0901203511246","09","012","0351",128,124,0.6385369,"Muy bajo"
"0901301460635","09","013","0146",204,199,0.6390403,"Muy bajo"
"0901202901227","09","012","0290",793,775,0.6390409,"Muy bajo"
"0901201401231","09","012","0140",4,4,0.639946,"Muy bajo"
"0900902340100","09","009","0234",36,36,0.6407311,"Muy bajo"
"0901202831231","09","012","0283",31,31,0.6408334,"Muy bajo"
"0900801040368","09","008","0104",62,62,0.6412162,"Muy bajo"
"0901302431281","09","013","0243",227,218,0.6413283,"Muy bajo"
"0901302630635","09","013","0263",62,62,0.6417848,"Muy bajo"
"0901302020635","09","013","0202",855,833,0.641865,"Muy bajo"
"0900903730524","09","009","0373",65,63,0.6430503,"Muy bajo"
"0901700010579","09","017","0001",1927,1837,0.6442033,"Muy bajo"
"0900901030100","09","009","0103",222,214,0.6445782,"Muy bajo"
"0901302310635","09","013","0231",353,349,0.6447185,"Muy bajo"
"0901201441829","09","012","0144",532,518,0.6449053,"Muy bajo"
"0900801070368","09","008","0107",2,2,0.6454369,"Muy bajo"
"0901100720471","09","011","0072",110,109,0.6456572,"Muy bajo"
"0900902660100","09","009","0266",144,141,0.6458583,"Muy bajo"
"0901301510620","09","013","0151",48,44,0.6458915,"Muy bajo"
"0900903470100","09","009","0347",21,21,0.6460401,"Muy bajo"
"0901500010771","09","015","0001",679,614,0.6460536,"Muy bajo"
"0900700015658","09","007","0001",7854,7451,0.646163,"Muy bajo"
"0900902640100","09","009","0264",49,46,0.6468675,"Muy bajo"
"0901302620635","09","013","0262",44,44,0.647077,"Muy bajo"
"0901301430620","09","013","0143",105,105,0.6473852,"Muy bajo"
"0901301830620","09","013","0183",2,2,0.6478137,"Muy bajo"
"0901101490838","09","011","0149",152,146,0.648599,"Muy bajo"
"0900902780100","09","009","0278",63,56,0.6486424,"Muy bajo"
"0900800710368","09","008","0071",7,5,0.6489931,"Muy bajo"
"0901500010911","09","015","0001",4396,4102,0.649242,"Muy bajo"
"0900901410524","09","009","0141",11,11,0.6494282,"Muy bajo"
"0901300011489","09","013","0001",647,613,0.6495688,"Muy bajo"
"0900903660100","09","009","0366",14,14,0.6495715,"Muy bajo"
"0900901670100","09","009","0167",299,287,0.6502687,"Muy bajo"
"0900901610100","09","009","0161",300,283,0.6505193,"Muy bajo"
"0900903690100","09","009","0369",10,9,0.6506723,"Muy bajo"
"0901100241520","09","011","0024",74,72,0.6509027,"Muy bajo"
"0900903820539","09","009","0382",2,2,0.6512375,"Muy bajo"
"0901302750902","09","013","0275",42,42,0.6514336,"Muy bajo"
"0901201681829","09","012","0168",1036,982,0.6518261,"Muy bajo"
"0901203351231","09","012","0335",7,7,0.6519961,"Muy bajo"
"0901101450471","09","011","0145",240,235,0.6524929,"Muy bajo"
"0901202771246","09","012","0277",54,54,0.6528736,"Muy bajo"
"0901302650620","09","013","0265",183,161,0.6530339,"Muy bajo"
"0901100761198","09","011","0076",118,115,0.6540337,"Muy bajo"
"0901201931231","09","012","0193",5,5,0.6544009,"Muy bajo"
"0900901310100","09","009","0131",157,149,0.6550615,"Muy bajo"
"0900903220524","09","009","0322",251,242,0.6551638,"Muy bajo"
"0901302360635","09","013","0236",151,150,0.6554272,"Muy bajo"
"0900903380100","09","009","0338",71,71,0.6561983,"Muy bajo"
"0900903050100","09","009","0305",166,156,0.6565046,"Muy bajo"
"0901200012386","09","012","0001",151,140,0.6579843,"Muy bajo"
"0900903890539","09","009","0389",33,33,0.6582558,"Muy bajo"
"0900902450524","09","009","0245",114,114,0.658762,"Muy bajo"
"0901302890902","09","013","0289",45,44,0.6591262,"Muy bajo"
"0901203741246","09","012","0374",89,86,0.6595717,"Muy bajo"
"0900800880368","09","008","0088",334,315,0.6602721,"Muy bajo"
"0901302140620","09","013","0214",139,126,0.6603228,"Muy bajo"
"0901101540471","09","011","0154",144,141,0.6606243,"Muy bajo"
"0900901100100","09","009","0110",4,4,0.660632,"Muy bajo"
"0900902560524","09","009","0256",220,212,0.6607766,"Muy bajo"
"0901202721246","09","012","0272",121,112,0.6608001,"Muy bajo"
"0900400730335","09","004","0073",512,483,0.6610363,"Muy bajo"
"0900902510100","09","009","0251",46,44,0.6611773,"Muy bajo"
"0900901580524","09","009","0158",307,295,0.6612037,"Muy bajo"
"0900901630100","09","009","0163",260,249,0.6616356,"Muy bajo"
"0900903370100","09","009","0337",41,41,0.6627795,"Muy bajo"
"0900903320100","09","009","0332",29,25,0.6629882,"Muy bajo"
"0901204391829","09","012","0439",110,103,0.6630194,"Muy bajo"
"0901302090902","09","013","0209",40,36,0.6635069,"Muy bajo"
"0900901990100","09","009","0199",81,80,0.6639314,"Muy bajo"
"0901201181250","09","012","0118",1,1,0.6646857,"Muy bajo"
"0901302660620","09","013","0266",135,130,0.6647479,"Muy bajo"
"0900903480100","09","009","0348",65,62,0.6649057,"Muy bajo"
"0900902190539","09","009","0219",189,185,0.665175,"Muy bajo"
"0901302010635","09","013","0201",53,48,0.6651773,"Muy bajo"
"0900400630157","09","004","0063",815,775,0.6657754,"Muy bajo"
"0900801080368","09","008","0108",51,46,0.6659507,"Muy bajo"
"0900904000539","09","009","0400",9,9,0.6666644,"Muy bajo"
"0901204321231","09","012","0432",6,5,0.666715,"Muy bajo"
"0900902410100","09","009","0241",64,58,0.6670817,"Muy bajo"
"0901101371179","09","011","0137",76,74,0.6673943,"Muy bajo"
"0900901920524","09","009","0192",30,30,0.6676557,"Muy bajo"
"0900903710100","09","009","0371",105,102,0.6679322,"Muy bajo"
"0900901910524","09","009","0191",15,14,0.6679366,"Muy bajo"
"0901101041198","09","011","0104",829,800,0.6679868,"Muy bajo"
"0901300010052","09","013","0001",197,186,0.6680921,"Muy bajo"
"0900901420524","09","009","0142",20,20,0.6684626,"Muy bajo"
"0901204291227","09","012","0429",165,160,0.6686248,"Muy bajo"
"0900903230524","09","009","0323",129,121,0.6689874,"Muy bajo"
"0901204261227","09","012","0426",35,35,0.6692897,"Muy bajo"
"0900901150524","09","009","0115",313,308,0.6699622,"Muy bajo"
"0901204061231","09","012","0406",2,2,0.6700617,"Muy bajo"
"0901302690635","09","013","0269",200,194,0.6701702,"Muy bajo"
"0901101361179","09","011","0136",358,336,0.6703365,"Muy bajo"
"0900902000100","09","009","0200",25,25,0.6704375,"Muy bajo"
"0901301810620","09","013","0181",271,254,0.670953,"Muy bajo"
"0901201281829","09","012","0128",25,25,0.6712706,"Muy bajo"
"0901203371231","09","012","0337",10,10,0.6712738,"Muy bajo"
"0900801120368","09","008","0112",115,107,0.6725368,"Muy bajo"
"0901101480471","09","011","0148",268,262,0.6725738,"Muy bajo"
"0901302040635","09","013","0204",54,52,0.6727167,"Muy bajo"
"0901300010090","09","013","0001",6972,6453,0.6727439,"Muy bajo"
"0901101590471","09","011","0159",260,243,0.6735003,"Muy bajo"
"0901203461246","09","012","0346",156,147,0.6737885,"Muy bajo"
"0901302390635","09","013","0239",232,224,0.6738855,"Muy bajo"
"0901301180635","09","013","0118",279,264,0.673986,"Muy bajo"
"0901200262403","09","012","0026",2523,2423,0.6740206,"Muy bajo"
"0900903850100","09","009","0385",9,9,0.6741056,"Muy bajo"
"0901101620471","09","011","0162",90,89,0.6743124,"Muy bajo"
"0901100711179","09","011","0071",301,289,0.6744771,"Muy bajo"
"0900900460539","09","009","0046",389,375,0.6749334,"Muy bajo"
"0900903650539","09","009","0365",37,35,0.6749626,"Muy bajo"
"0901302610635","09","013","0261",36,35,0.6750175,"Muy bajo"
"0901201981231","09","012","0198",18,17,0.6751549,"Muy bajo"
"0900902460524","09","009","0246",140,131,0.6755081,"Muy bajo"
"0901101460471","09","011","0146",53,52,0.675715,"Muy bajo"
"0900903180100","09","009","0318",93,92,0.6770576,"Muy bajo"
"0901301930635","09","013","0193",38,37,0.6771164,"Muy bajo"
"0901101190838","09","011","0119",178,173,0.6772758,"Muy bajo"
"0900902810524","09","009","0281",27,27,0.6775582,"Muy bajo"
"0900901740100","09","009","0174",232,224,0.6781141,"Muy bajo"
"0900902330100","09","009","0233",166,158,0.6781719,"Muy bajo"
"0900902240539","09","009","0224",205,203,0.678623,"Muy bajo"
"0901302840902","09","013","0284",75,73,0.6786908,"Muy bajo"
"0900902970539","09","009","0297",384,364,0.6792499,"Muy bajo"
"0901301640902","09","013","0164",39,34,0.6794823,"Muy bajo"
"0900903540100","09","009","0354",87,85,0.6794962,"Muy bajo"
"0901101400471","09","011","0140",1431,1398,0.6799691,"Muy bajo"
"0900902890524","09","009","0289",72,71,0.6800841,"Muy bajo"
"0900903030100","09","009","0303",183,174,0.6804189,"Muy bajo"
"0900903440100","09","009","0344",74,67,0.6810303,"Muy bajo"
"0901301400902","09","013","0140",148,141,0.68126,"Muy bajo"
"0901302130620","09","013","0213",128,118,0.6816161,"Muy bajo"
"0901200262418","09","012","0026",2975,2810,0.6817523,"Muy bajo"
"0901300011440","09","013","0001",4545,4256,0.6818645,"Muy bajo"
"0901202101246","09","012","0210",65,65,0.6820917,"Muy bajo"
"0901300010705","09","013","0001",913,850,0.6823275,"Muy bajo"
"0900902350100","09","009","0235",88,82,0.682439,"Muy bajo"
"0901100941107","09","011","0094",18,18,0.682815,"Muy bajo"
